HUC12,Lake_Chla,Obs_HABs_Treat_Num,Obs_HABs_Treat_Risk,Obs_Deficiencies_n,Obs_AltSource,Obs_Cyano_ugl,Obs_DBP_Viol_n,Obs_Tot_Carbon_tt_n,Obs_turb_exceed_n,Obs_RTCR_mcl_n,Obs_HAB_DW_Risk,Obs_DW_Ops_Risk,Obs_Lake_Risk,Obs_DW_Viol_Risk,Pred_Cyan_ugl,Pred_DBP_freq,Pred_DWOps_Risk,Pred_Lake_Risk,Pred_HABDW_Risk,Est_HABDW_Risk,Est_DWOps_Risk,Est_Lake_Risk
10300031903,5.130971093,3,0.733333333,0,1,NA,53,0,0,0,0.449939738,0.334702259,0.198674196,0.100952381,0.048820981,42.14317778,0.334499422,0.198643266,0.449262977,0.357158834,0.273657289,0.220852044
10300032104,4.286853155,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.195363929,0,0.055998027,6.358921123,0.36877309,0.201086096,0.485707186,0.289399149,0.206022856,0.217172254
10300032301,4.417654855,2,0.8,0,1,NA,7,0,0,0,0.435447258,0.351699749,0.197305438,0.032083333,0.046867332,7.901911111,0.351742486,0.198055902,0.434217643,0.331908337,0.253796355,0.219330493
10300032303,4.417654855,2,0.8,0,1,NA,7,0,0,0,0.435447258,0.351699749,0.197305438,0.032083333,0.046867332,7.901911111,0.351742486,0.198055902,0.434217643,0.331908337,0.253796355,0.219330493
10300032305,4.444186206,NA,NA,NA,1,NA,7,0,0,0,0.435447258,0.351699749,0.19609918,0.016041667,0.046957245,7.630711111,0.369570209,0.196071134,0.474679112,0.306852968,0.223907449,0.217989581
10300032308,4.470717557,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.194892923,0,0.046383131,4.89758779,0.359978562,0.200797787,0.481806848,0.289105304,0.206022856,0.21664867
10400020602,4.77692208,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.195576348,0,0.051798119,7.989240171,0.362861369,0.205757303,0.510315819,0.28953167,0.206022856,0.217408386
10400020701,2.828945723,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.19632855,0,0.057523314,5.802812898,0.351702202,0.202057587,0.485696493,0.290000943,0.206022856,0.218244556
10400020702,2.828945723,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.19632855,0,0.057523314,5.802812898,0.351702202,0.202057587,0.485696493,0.290000943,0.206022856,0.218244556
10400020704,4.169938332,10,0.922222222,0,1,0.14,10,0,0,0,0.446166741,0.383527264,0.190667544,0.00952381,0.126933484,13.14923016,0.394208043,0.190935206,0.45659201,0.300244756,0.220481671,0.211951615
10400020801,4.169938332,10,0.922222222,0,1,0.14,10,0,0,0,0.446166741,0.383527264,0.190667544,0.00952381,0.126933484,13.14923016,0.394208043,0.190935206,0.45659201,0.300244756,0.220481671,0.211951615
10400020802,4.169938332,10,0.922222222,0,1,0.14,10,0,0,0,0.446166741,0.383527264,0.190667544,0.00952381,0.126933484,13.14923016,0.394208043,0.190935206,0.45659201,0.300244756,0.220481671,0.211951615
10400020803,4.169938332,10,0.922222222,0,1,0.14,10,0,0,0,0.446166741,0.383527264,0.190667544,0.00952381,0.126933484,13.14923016,0.394208043,0.190935206,0.45659201,0.300244756,0.220481671,0.211951615
10400020904,3.063289997,4,0.666666667,0,1,NA,14,0,0,0,0.410650385,0.31844075,0.197970751,0.032916667,0.052449521,14.19011111,0.318145048,0.197935178,0.408855765,0.365884861,0.294186398,0.220070074
10400020909,3.063289997,4,0.666666667,0,1,NA,14,0,0,0,0.410650385,0.31844075,0.197970751,0.032916667,0.052449521,14.19011111,0.318145048,0.197935178,0.408855765,0.365884861,0.294186398,0.220070074
10400020910,4.169938332,10,0.922222222,0,1,0.14,10,0,0,0,0.446166741,0.383527264,0.190667544,0.00952381,0.126933484,13.14923016,0.394208043,0.190935206,0.45659201,0.300244756,0.220481671,0.211951615
10500021212,2.158395838,2,0.666666667,0,1,0.07,1,0,0,0,NA,NA,0.194439015,0.001904762,0.05429714,5.526699618,0.321625728,0.193935414,0.393176136,0.360654359,0.294117647,0.216144094
10500021213,2.257253494,4,0.666666667,0,0.5,0.035,1,0,0,0,NA,NA,0.193584776,0.000952381,0.05042168,5.133350412,0.238940331,0.193309747,0.363704619,0.297734839,0.217391304,0.215194496
10500021301,3.568695209,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.194097615,0,0.051935461,5.358657343,0.348797161,0.19895763,0.482524129,0.288609139,0.206022856,0.215764583
10500021302,3.568695209,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.194097615,0,0.051935461,5.358657343,0.348797161,0.19895763,0.482524129,0.288609139,0.206022856,0.215764583
10500021303,3.568695209,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.194097615,0,0.051935461,5.358657343,0.348797161,0.19895763,0.482524129,0.288609139,0.206022856,0.215764583
10500021402,2.141050193,4,0.666666667,0,1,NA,18,0,0,0,0.410997896,0.318330353,0.197847563,0.034285714,0.054859411,17.21203333,0.316788826,0.197780984,0.409859624,0.366231742,0.294140564,0.219933135
10500021404,2.141050193,4,0.666666667,0,1,NA,18,0,0,0,0.410997896,0.318330353,0.197847563,0.034285714,0.054859411,17.21203333,0.316788826,0.197780984,0.409859624,0.366231742,0.294140564,0.219933135
10500021407,2.421807815,NA,NA,NA,1,NA,0,0,0,0,0.444875399,0.383983573,0.190927214,0,0.070140052,5.80671578,0.403868306,0.19311969,0.489471384,0.300685894,0.223308024,0.212240272
10500021408,2.141050193,4,0.666666667,0,1,NA,18,0,0,0,0.410997896,0.318330353,0.197847563,0.034285714,0.054859411,17.21203333,0.316788826,0.197780984,0.409859624,0.366231742,0.294140564,0.219933135
10500021501,2.500863225,NA,NA,NA,1,NA,0,0,0,0,0.444875399,0.383983573,0.194821656,0,0.068794476,5.91831578,0.369347467,0.19377047,0.47807946,0.303115504,0.223308024,0.216569449
10500021502,2.472866777,NA,NA,NA,1,NA,0,0,0,0,0.444875399,0.383983573,0.192597941,0,0.068289941,4.410309719,0.37338872,0.193583271,0.480475768,0.301728204,0.223308024,0.214097501
10500021503,2.574984701,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.195939395,0,0.057928011,8.716139394,0.34440537,0.20449567,0.47278865,0.289758163,0.206022856,0.21781196
10500021905,2.47769,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.195240212,0,0.050608363,6.645257343,0.349579702,0.200988036,0.471607409,0.289321966,0.206022856,0.217034727
10500030104,3.655894606,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.195907015,0,0.056690426,5.377424009,0.345678158,0.202092253,0.46539011,0.289737962,0.206022856,0.217775965
10500030105,3.655894606,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.195907015,0,0.056690426,5.377424009,0.345678158,0.202092253,0.46539011,0.289737962,0.206022856,0.217775965
10500030301,4.208309298,1,0.933333333,0,1,NA,21,0,0,0,0.467327401,0.385124344,0.198165952,0.04625,0.059839789,8.810591775,0.375810947,0.197982002,0.470625495,0.301793122,0.213475064,0.220287065
10500030305,4.288244939,3,0.733333333,0,1,0.07,0,0,0,0,0.41073911,0.334812656,0.198172309,0,0.072228803,3.752560224,0.335817842,0.198064687,0.412577118,0.34618238,0.273703123,0.220294132
