"HUC12","lake_TN","lake_TP","Lake_Chla","LakeVolume","LakeArea","MeanDepth","Nsurp_kgkm2_Ws","Tmean8110Ws","Precip8110Ws","FertCat","SystemSizePop","AltSource_yn2","AltSource_yn1","HABs_Treat_Num","All_Deficiencies_num","Distribution_deficiencies_num","Mgmt_Deficiences_num","SourceWater_deficiencies_num","Treatment_deficiencies_num","Financial_Deficiencies_num","Enforcement_Violation_Notice_num","HABs_Treat_Risk","HABs_Treat_Score2","ServesSchoolDaycare2","RTCR_Risk","NO3_Risk","DBP_Risk","All_Viol_Risk","n_RTCR_mcl","n_RTCR_tt","n_Tot_C_tt","n_turb_exceed","DBP_Viol_Freq","NO3_Viol_Freq","All_Viol_Freq","n_disinfectant_mr","n_DBP_mr","n_SWTR_tt","Cyano_yn","TN_Risk","TP_Risk","Chla_Risk","Sanitary_Deficiencies_num","LakeArea2","LakeVolume2","MeanDepth2","Lake_Risk","Mgmt_Deficiences_num2","Distribution_deficiencies_num2","Financial_Deficiencies_num2","Sanitary_Deficiencies_num2","Enforcement_Violation_Notice_num2","n_SWTR_tt2","n_Tot_C_tt2","n_turb_exceed2","DW_Ops_Risk","n_DBP_mr2","DW_Viol_Risk","HAB_DW_Risk"
10100030301,1313.41155742615,104.2275462553,25.6969274443861,74189.33905,87694.16331085,1.0870721545,6043.89847734236,15.3393560894,1210.98867689,14.1903720435782,2365.55753507726,1,0,0.806599335047989,2,0.334629780649478,0,1,0,0.00489304309641804,0.726609929671218,-0.638524698715402,0.943650793650794,0,1,0,0,1,0.101278153319361,0.180451127819549,0.0422410484989816,0.0953449242849131,0.974307616934206,0.547047465344823,4,0,1.12093750922455,0.0879357676299554,0,1,1,1,0.519338672465829,1,1,1,1,1,1,1,1,1,1,1,1,0.927830625746117,1,1,0.971132250298447
10100030302,1313.41155742615,104.2275462553,25.6969274443861,74189.33905,87694.16331085,1.0870721545,6043.89847734236,15.3393560894,1210.98867689,14.1903720435782,2365.55753507726,1,0,0.806599335047989,2,0.334629780649478,0,1,0,0.00489304309641804,0.726609929671218,-0.638524698715402,0.943650793650794,0,1,0,0,1,0.101278153319361,0.180451127819549,0.0422410484989816,0.0953449242849131,0.974307616934206,0.547047465344823,4,0,1.12093750922455,0.0879357676299554,0,1,1,1,0.519338672465829,1,1,1,1,1,1,1,1,1,1,1,1,0.927830625746117,1,1,0.971132250298447
10100030303,1313.41155742615,104.2275462553,25.6969274443861,74189.33905,87694.16331085,1.0870721545,6043.89847734236,15.3393560894,1210.98867689,14.1903720435782,2365.55753507726,1,0,0.806599335047989,2,0.334629780649478,0,1,0,0.00489304309641804,0.726609929671218,-0.638524698715402,0.943650793650794,0,1,0,0,1,0.101278153319361,0.180451127819549,0.0422410484989816,0.0953449242849131,0.974307616934206,0.547047465344823,4,0,1.12093750922455,0.0879357676299554,0,1,1,1,0.519338672465829,1,1,1,1,1,1,1,1,1,1,1,1,0.927830625746117,1,1,0.971132250298447
10100041108,1313.41155742615,104.2275462553,25.6969274443861,74189.33905,87694.16331085,1.0870721545,6043.89847734236,15.3393560894,1210.98867689,14.1903720435782,2365.55753507726,1,0,0.806599335047989,2,0.334629780649478,0,1,0,0.00489304309641804,0.726609929671218,-0.638524698715402,0.943650793650794,0,1,0,0.219047619047619,1,0.101278153319361,0.180451127819549,0.0422410484989816,0.0953449242849131,0.974307616934206,0.547047465344823,4,0,1.12093750922455,0.0879357676299554,0,1,1,1,0.519338672465829,1,1,1,1,1,1,1,1,1,1,1,1,0.927830625746117,1,1,0.971132250298447
10100041109,1313.41155742615,104.2275462553,25.6969274443861,74189.33905,87694.16331085,1.0870721545,6043.89847734236,15.3393560894,1210.98867689,14.1903720435782,2365.55753507726,1,0,0.806599335047989,2,0.334629780649478,0,1,0,0.00489304309641804,0.726609929671218,-0.638524698715402,0.943650793650794,0,1,0,0.219047619047619,1,0.101278153319361,0.180451127819549,0.0422410484989816,0.0953449242849131,0.974307616934206,0.547047465344823,4,0,1.12093750922455,0.0879357676299554,0,1,1,1,0.519338672465829,1,1,1,1,1,1,1,1,1,1,1,1,0.927830625746117,1,1,0.971132250298447
10200040203,1313.41155742615,104.2275462553,25.6969274443861,74189.33905,87694.16331085,1.0870721545,6043.89847734236,15.3393560894,1210.98867689,14.1903720435782,2365.55753507726,1,0,0.806599335047989,2,0.334629780649478,0,1,0,0.00489304309641804,0.726609929671218,-0.638524698715402,0.943650793650794,0,1,0,0,1,0.101278153319361,0.180451127819549,0.0422410484989816,0.0953449242849131,0.974307616934206,0.547047465344823,4,0,1.12093750922455,0.0879357676299554,0,1,1,1,0.519338672465829,1,1,1,1,1,1,1,1,1,1,1,1,0.927830625746117,1,1,0.971132250298447
10200040305,1313.41155742615,104.2275462553,25.6969274443861,74189.33905,87694.16331085,1.0870721545,6043.89847734236,15.3393560894,1210.98867689,14.1903720435782,2365.55753507726,1,0,0.806599335047989,2,0.334629780649478,0,1,0,0.00489304309641804,0.726609929671218,-0.638524698715402,0.943650793650794,0,1,0,0,1,0.101278153319361,0.180451127819549,0.0422410484989816,0.0953449242849131,0.974307616934206,0.547047465344823,4,0,1.12093750922455,0.0879357676299554,0,1,1,1,0.519338672465829,1,1,1,1,1,1,1,1,1,1,1,1,0.927830625746117,1,1,0.971132250298447
10200040311,1313.41155742615,104.2275462553,25.6969274443861,74189.33905,87694.16331085,1.0870721545,6043.89847734236,15.3393560894,1210.98867689,14.1903720435782,2365.55753507726,1,0,0.806599335047989,2,0.334629780649478,0,1,0,0.00489304309641804,0.726609929671218,-0.638524698715402,0.943650793650794,0,1,0,0,1,0.101278153319361,0.180451127819549,0.0422410484989816,0.0953449242849131,0.974307616934206,0.547047465344823,4,0,1.12093750922455,0.0879357676299554,0,1,1,1,0.519338672465829,1,1,1,1,1,1,1,1,1,1,1,1,0.927830625746117,1,1,0.971132250298447
10200050602,1313.41155742615,104.2275462553,25.6969274443861,74189.33905,87694.16331085,1.0870721545,6043.89847734236,15.3393560894,1210.98867689,14.1903720435782,2365.55753507726,1,1,0.806599335047989,2,0.334629780649478,0,1,0,0.00489304309641804,0.726609929671218,-0.638524698715402,0.943650793650794,0,1,0,0,1,0.101278153319361,0.180451127819549,0.0422410484989816,0.0953449242849131,0.974307616934206,0.547047465344823,4,0,1.12093750922455,0.0879357676299554,0,1,1,1,0.519338672465829,1,1,1,1,1,1,1,1,1,1,1,1,0.927830625746117,1,1,0.971132250298447
10200050703,1313.41155742615,104.2275462553,25.6969274443861,74189.33905,87694.16331085,1.0870721545,6043.89847734236,15.3393560894,1210.98867689,14.1903720435782,2365.55753507726,1,0,0.806599335047989,2,0.334629780649478,0,1,0,0.00489304309641804,0.726609929671218,-0.638524698715402,0.943650793650794,0,1,0,0,1,0.101278153319361,0.180451127819549,0.0422410484989816,0.0953449242849131,0.974307616934206,0.547047465344823,4,0,1.12093750922455,0.0879357676299554,0,1,1,1,0.519338672465829,1,1,1,1,1,1,1,1,1,1,1,1,0.927830625746117,1,1,0.971132250298447
